SMILES,HIV/BBBP
[Cl].CC(C)NCC(O)COc1cccc2ccccc12,0
C(=O)(OC(C)(C)C)CCCc1ccc(cc1)N(CCCl)CCCl,0
c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2C(C)CO3)=O,0
C1CCN(CC1)Cc1cccc(c1)OCCCNC(=O)C,0
Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O,0
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(O)=O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O,0
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(/O)NCN5CCCC5)C1=O,0
Cn1c2CCC(Cn3ccnc3C)C(=O)c2c4ccccc14,0
COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O,0
NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,0
CC1=CN([C@H]2C[C@H](F)[C@@H](CO)O2)C(=O)NC1=O,0
C(Cl)Cl,0
C1N(C(CC2CCCCC12)C(NC(C)(C)C)=O)CC(C(Cc1ccccc1)NC(C(NC(c1nc2c(cccc2)cc1)=O)CC(N)=O)=O)O,0
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,0
CCN1N=NN(CCN2CCC(CC2)(COC)N(C(=O)CC)c3ccccc3)C1=O,0
CN(C)C(=O)C(CCN1CCC(O)(CC1)c1ccc(Cl)cc1)(c1ccccc1)c1ccccc1,0
CN1C2CCC1CC(C2)OC(=O)[C@H](CO)c3ccccc3,0
COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)[S](=O)(=O)NC(=O)NC3CCCCC3,0
Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl,0
CCCC(C)C,0
C[C@H](N)Cc1ccccc1,0
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12,0
CCC(=O)N(c1ccccc1)C2(CCN(CCc3sccc3)CC2)COC,0
CN(C)C(=O)Cc1n2cc(C)ccc2nc1c3ccc(C)cc3,0
CN1CCN(CC1)C2=C3C=CC=CC3=Nc4ccc(Cl)cc4N2,0
FC(F)(F)c1c(Cl)nc(N2CCNCC2)cc1,0
O.CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c4ccccc4)C(=O)C1=O,0
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,0
